at_id,name,degree
7003278645,Apisak Worapishet,NA
6506006755,Prayoot Akkaraekthalin,NA
57076954500,Sarinya Kumpunya,NA
55216582400,Arthid Thim-uam,NA
57218475218,Chisanu Thumarat,NA
24587653600,Asada Leelahavanichkul,NA
56784217400,Nuttiya Kalpongnukul,NA
36815758200,Naphat Chantaravisoot,NA
6507728111,Trairak Pisitkun,NA
14016638900,Prapaporn Pisitkun,NA
57387226400,Pornsiri Suwannapaporn,NA
7004619564,Narongsak Chaiyabutr,NA
55326227300,Aree Wanasuntronwong,NA
6507773458,Sumpun Thammacharoen,NA
57344982300,Suta Kunwong,NA
57208553550,Penpicha Satanwat,NA
6507593766,Sorawit Powtongsook,NA
23993014300,Wiboonluk Pungrasmi,NA
23390243400,Kasidit Nootong,NA
57896877500,Romal Ramadhan,NA
24466763800,Kreangkrai Maneeintr,NA
57213094877,Matthias Müller,NA
55805366300,Miles Macklin,NA
14824789300,Nuttapong Chentanez,NA
10141789000,Stefan Jeschke,NA
35222495600,Tumasyan,NA
56217303000,Adam,NA
57222730792,Andrejkovic,NA
56236454000,Bergauer,NA
55470759900,Chatterjee,NA
57350183900,Damanakis,NA
23011684400,Dragicevic,NA
56272545200,Escalante Del Valle,NA
8791909900,Frühwirth,NA
16019870600,Jeitler,NA
57194835548,Krammer,NA
24767624300,Lechner,NA
35227509400,Liko,NA
15825660400,Mikulec,NA
57209005037,Paulitsch,NA
57195059626,Pitters,NA
55325317300,Schieck,NA
16246113200,Schöfbeck,NA
57217070627,Schwarz,NA
57217018402,Templ,NA
23010348400,Waltenberger,NA
6601931097,Wulz,NA
16244067100,Chekhovsky,NA
35278505900,Litomin,NA
35278527200,Makarenko,NA
57208209720,Darwish,NA
36051279500,De Wolf,NA
57226328248,Janssen,NA
57215664799,Kello,NA
57119796000,Lelek,NA
57210325112,Rejeb Sfar,NA
35228082900,Van Mechelen,NA
57210311992,Van Putte,NA
35228112900,Van Remortel,NA
35226999000,Blekman,NA
57204547895,Bols,NA
56251124200,D’Hondt,NA
57189268167,Delcourt,NA
57226343153,El Faham,NA
29767622300,Lowette,NA
57186646100,Moortgat,NA
56496326300,Morton,NA
57220944712,Müller,NA
57202372215,Sahasransu,NA
23072003200,Tavernier,NA
7007131716,Van Doninck,NA
57194836111,Beghin,NA
47961051700,Bilin,NA
35227095300,Clerbaux,NA
35227155800,De Lentdecker,NA
7005615760,Favart,NA
56272941000,Kalsi,NA
56118947200,Lee,NA
57202501792,Mahdavikhorrami,NA
57217065534,Makarenko,NA
57204554179,Moureaux,NA
57216949321,Pétré,NA
35227904100,Popov,NA
6506380870,Postiau,NA
57023665100,Starling,NA
57216595508,Thomas,NA
57222901883,Vanden Bemden,NA
8791944600,Vander Velde,NA
13908298000,Vanlaer,NA
54976261100,Cornelis,NA
10042327900,Dobur,NA
57202119991,Knolle,NA
57224526837,Lambrecht,NA
57221325242,Mestdach,NA
57189257155,Niedziela,NA
57195532967,Roskas,NA
57215813715,Samalan,NA
15069717900,Skovpen,NA
6701904022,Tytgat,NA
57202110843,Vermassen,NA
57217018575,Wezenbeek,NA
57202855756,Benecke,NA
42760891700,Bethani,NA
7202705219,Bruno,NA
57218672603,Bury,NA
56397823600,Caputo,NA
35227130700,David,NA
6507651237,Delaere,NA
57217021481,Donertas,NA
8394675100,Giammanco,NA
57224518926,Jaffel,NA
57199170662,Sa. Jain,NA
35278835700,Lemaitre,NA
56681841200,Mondal,NA
6602164845,Prisciandaro,NA
57208691356,Taliercio,NA
55328162700,Teklishyn,NA
57224511481,Tran,NA
54973936800,Vischia,NA
57294604100,Wertz,NA
57276704200,Alves,NA
35227418400,Hensel,NA
16176181600,Moraes,NA
56502269900,Rebello Teles,NA
45661125400,Aldá Júnior,NA
57226689005,Alves Gallo Pereira,NA
57222730548,Barroso Ferreira Filho,NA
57219140870,Brandao Malbouisson,NA
35227029400,Carvalho,NA
35186067500,Chinellato,NA
36170359100,Da Costa,NA
57220508634,Da Silveira,NA
35221341600,De Jesus Damiao,NA
57386695400,Dos Santos Sousa,NA
35221364500,Fonseca De Souza,NA
35223795500,Mora Herrera,NA
57222730660,Mota Amarilo,NA
35227719400,Mundim,NA
23061276100,Nogima,NA
55536836600,Santoro,NA
35222296300,Silva Do Amaral,NA
35228062600,Sznajder,NA
57197481922,Thiel,NA
57430086600,Torres Da Silva De Araujo,NA
35147137400,Vilela Pereira,NA
47960957400,Bernardes,NA
57826860000,Calligaris,NA
35221458500,Fernandez Perez Tomei,NA
57196215923,Gregores,NA
57210318115,Lemos,NA
57220510951,Mercadante,NA
35227726500,Novaes,NA
7004085533,Sandra S. Padula,NA
57280222000,Aleksandrov,NA
6506909371,Antchev,NA
36170537200,Hadjiiska,NA
56423887900,Iaydjiev,NA
55567478400,Misheva,NA
36640826400,Rodozov,NA
57220193499,Shopova,NA
57221288617,Sultanov,NA
7101600969,Dimitrov,NA
57199864936,Ivanov,NA
35240572900,Litov,NA
7006790820,Pavlov,NA
57209563596,Petkov,NA
7401780267,Petrov,NA
36170339600,Cheng,NA
57218836227,Javaid,NA
55404326300,Mittal,NA
57199995731,Yuan,NA
56289725200,Ahmad,NA
55537343400,Bauer,NA
36170197700,Dozen,NA
36170724400,Hu,NA
24326272700,Martins,NA
57244841300,Wang,NA
57218184414,Yi,NA
57203666786,Chapon,NA
36151932100,Chen,NA
55966097500,Chen,NA
35314590800,Chen,NA
57211618085,Iemmi,NA
36856639700,Kapoor,NA
25947521000,Leggat,NA
57195918399,Liao,NA
56192187000,Liu,NA
57197852316,Milosevic,NA
57204006686,Monti,NA
35565265100,Sharma,NA
36988265100,Tao,NA
56073318200,Thomas-Wilsker,NA
57203624579,Wang,NA
57214205139,Zhang,NA
57215617549,Zhao,NA
56700455200,Agapitos,NA
57219748374,An,NA
57209289795,Ban,NA
57211656790,Chen,NA
7403194551,Levin,NA
56142753500,Li,NA
56192638000,Lyu,NA
57211798879,Mao,NA
57226214967,Qian,NA
57283468700,Wang,NA
36705420200,Xiao,NA
57225093991,Lu,NA
57204621004,You,NA
56673225600,Gao,NA
31967816700,Okawa,NA
56162282500,Zhang,NA
57224518543,Lin,NA
55125581900,Baringer,NA
57303302200,Avila,NA
36170178900,Cabrera,NA
35221422100,Florez,NA
57220446317,Fraga,NA
56925479100,Mejia Guisao,NA
36630740100,Ramirez,NA
55383414600,Ruiz Alvarez,NA
57210324676,Salazar González,NA
57208212148,Giljanovic,NA
57720737200,Godinovic,NA
15029012100,Lelas,NA
12758684000,Puljak,NA
6602116545,Antunovic,NA
51663567700,Kovac,NA
57190732707,Sculac,NA
35277866900,Brigljevic,NA
35278010000,Ferencek,NA
35221909700,Majumder,NA
57204002178,Roguljic,NA
15037645500,Starodumov,NA
6601993460,Susa,NA
35221179800,Attikis,NA
57226709577,Christoforou,NA
57190575841,Ioannou,NA
55795754000,Kole,NA
57202857664,Kolosova,NA
57208215184,Konstantinou,NA
6602990818,Mousa,NA
57204313157,Nicolaou,NA
35227837600,Ptochos,NA
57192996209,Razis,NA
35227854200,Rykaczewski,NA
56448208700,Saka,NA
58333916500,Finger,NA
55708019600,Finger,NA
57188628481,Kveton,NA
8154044400,Ayala,NA
57562081600,Carrera Jarrin,NA
57220449555,Elgammal,NA
57208763160,Khalil,NA
55135134500,Mahmoud,NA
57218539219,Mohammed,NA
56285687700,Bhowmik,NA
56271579900,Dewanjee,NA
57202852623,Ehataht,NA
57223599278,Kadastik,NA
57189263382,Nandan,NA
57224519180,Nielsen,NA
50761411600,Pata,NA
57211756829,Raidal,NA
57224504221,Tani,NA
8062446100,Veelken,NA
55995576100,Eerola,NA
54882040600,Forthomme,NA
47961244200,Kirschenmann,NA
55602832200,Osterberg,NA
35228151800,Voutilainen,NA
57210429551,Bharthuar,NA
14010369600,Brücken,NA
57643092900,Garcia,NA
57199995763,Havukainen,NA
57198854742,Kim,NA
6701738986,Kinnunen,NA
57215783011,Lampén,NA
6505817089,Lassila-Perini,NA
8304097000,Lehti,NA
7006843617,Lindén,NA
57210188378,Lotti,NA
57210425680,Martikainen,NA
57226722299,Myllymäki,NA
36171007600,Ott,NA
57199996324,Siikonen,NA
6701354973,Tuominen,NA
6602082691,Tuominiemi,NA
10045377100,Luukka,NA
57195267557,Petrow,NA
57220504223,Tuuva,NA
57197744387,Amendola,NA
35226977100,Besancon,NA
34569283400,Couderc,NA
6701626683,Dejardin,NA
16411691200,Denegri,NA
7201809027,Faure,NA
35285669600,Ferri,NA
16244842600,Ganjour,NA
7005864683,Gras,NA
57407358200,Hamel de Monchenault,NA
35227362200,Jarry,NA
22135584700,Lenzi,NA
35227603300,Locci,NA
35227623100,Malcles,NA
35227863300,Rander,NA
35227935800,Rosowsky,NA
55560501400,Sahin,NA
35277534000,Savoy-Navarro,NA
57220713617,Titov,NA
57219639296,Yu,NA
26432484600,Ahuja,NA
35226957500,Beaudette,NA
57220383511,Bonanomi,NA
57219147955,Buchot Perraguin,NA
57220482338,Busson,NA
57201369390,Cappati,NA
57219687705,Charlot,NA
55268059300,Davignon,NA
56596681500,Diab,NA
57210312527,Falmagne,NA
57209784896,Ghosh,NA
6603462058,Granier de Cassagnac,NA
57219145501,Hakimi,NA
56667394500,Kucher,NA
57304119300,Motta,NA
13611675100,Nguyen,NA
35234467900,Ochando,NA
35278394100,Paganini,NA
57204002482,Rembser,NA
16029332900,Salerno,NA
57217019857,Sarkar,NA
57203667153,Sauvan,NA
57223635673,Sirois,NA
57303822400,Tarabini,NA
35228206000,Zabi,NA
35228219000,Zghiche,NA
35226917700,Agram,NA
36170414000,Andrea,NA
57221336824,Apparu,NA
23494961300,Bloch,NA
57207915985,Bourgatte,NA
7003604925,Brom,NA
7004583006,Chabert,NA
7005657775,Collard,NA
57221328218,Darej,NA
35227214800,Fontaine,NA
6701742771,Goerlach,NA
57215658758,Grimault,NA
35227509600,Le Bihan,NA
56461284200,Nibigira,NA
26327126900,Van Hove,NA
55175601800,Asilar,NA
35226934900,Beauceron,NA
26032521900,Bernet,NA
55580574200,Boudoul,NA
57204143743,Camen,NA
57211493098,Carle,NA
35221197100,Chanon,NA
6603673326,Contardo,NA
6603133158,Depasse,NA
35227190700,El Mamouni,NA
35227157500,Fay,NA
16244924200,Gascon,NA
16052512600,Gouzevitch,NA
7004642750,Ille,NA
35227520200,Laktineh,NA
57202107297,Lattaud,NA
57211487836,Lesauvage,NA
6504592246,Lethuillier,NA
24299427000,Mirabito,NA
6603735688,Perries,NA
57203845246,Shchablo,NA
35231015200,Sordini,NA
57211486222,Torterotot,NA
57204005368,Touquet,NA
15756384900,Vander Donckt,NA
24777581200,Viret,NA
6505809899,Lomidze,NA
56682054500,Toriashvili,NA
6505830153,Tsamalaidze,NA
57194768864,Botta,NA
55538312300,Feld,NA
57207905860,Klein,NA
56501623000,Lipinski,NA
57208205204,Meuser,NA
57193926998,Pauls,NA
57217071919,Röwert,NA
57189258510,Schulz,NA
57199997190,Teroerde,NA
57226719616,Dodonova,NA
57219147117,Eliseev,NA
35388173900,Erdmann,NA
57217020844,Fackeldey,NA
57205944990,Fischer,NA
55547103616,Ghosh,NA
35227396800,Hebbeker,NA
57207900541,Hoepfner,NA
57215343351,Ivone,NA
56271572300,Mastrolorenzo,NA
57207904445,Merschmeyer,NA
7401839687,Meyer,NA
57202891752,Mocellin,NA
55756177800,Mondal,NA
22989437900,Mukherjee,NA
57208214845,Noll,NA
57208209429,Novak,NA
56682114300,Pook,NA
25223758600,Pozdnyakov,NA
57202858844,Rath,NA
57208122604,Reithler,NA
57210311352,Roemer,NA
57198983235,Schmidt,NA
8085444300,Schuler,NA
58263648800,Sharma,NA
57221318039,Vigilante,NA
57202757987,Wiedenbeck,NA
57194775056,Zaleski,NA
57215882750,Dziwok,NA
57207903005,Flügge,NA
35221758100,Haj Ahmad,NA
57188961494,Hlushchenko,NA
57207898447,Kress,NA
57207907794,Nowack,NA
57207907683,Pooth,NA
7402439371,Roy,NA
35926846100,Stahl,NA
57215882685,Ziemons,NA
57219458880,Zotz,NA
57217017888,Aarup Petersen,NA
29367464500,Aldaya Martin,NA
57208206311,Asmuss,NA
57217016271,Baxter,NA
57350244500,Bayatmakou,NA
7005288544,Behnke,NA
57195932967,Bermúdez Martínez,NA
37092496900,Bhattacharya,NA
57189264281,Bin Anuar,NA
35313279200,Borras,NA
57217019882,Brunner,NA
7403505046,Campbell,NA
7004924714,Cardini,NA
57209126734,Cheng,NA
57224507487,Colombina,NA
57200129316,Consuegra Rodríguez,NA
57200798362,Correia Silva,NA
57197597468,Danilov,NA
57221691328,De Silva,NA
57215487043,Didukh,NA
35227214700,Eckerlin,NA
7006469870,Eckstein,NA
57211538091,Estevez Banos,NA
57224515206,Filatov,NA
57218944607,Gallo,NA
35313338100,Geiser,NA
57217020390,Giraldi,NA
15822107800,Grohsjean,NA
54882011300,Guthoff,NA
35221535900,Jafari,NA
23466814900,Jomhari,NA
57203793627,Jung,NA
57765054500,Kasem,NA
25943404000,Kasemann,NA
57210313240,Kaveh,NA
7004135079,Kleinwort,NA
23060773000,Kogler,NA
57204849463,Krücker,NA
35222026500,Lange,NA
57191500535,Lidrych,NA
6701618960,Lipka,NA
57208749914,Lohmann,NA
7003831414,Mankel,NA
6506430338,Melzer-Pellmann,NA
57303665800,Mendizabal Morentin,NA
57217021381,Metwally,NA
57198932911,Meyer,NA
57198609986,Meyer,NA
35227735600,Mnich,NA
35278917500,Mussgiller,NA
57217015843,Otarid,NA
57208209966,Pérez Adán,NA
6603680587,Pitzl,NA
35227837000,Raspereza,NA
57225010950,Ribeiro Lopes,NA
57225009296,Rübenach,NA
57199999252,Saggio,NA
57202851944,Saibel,NA
56285581500,Savitskyi,NA
57224530038,Scham,NA
57208212175,Scheurer,NA
57350225800,Schnake,NA
57194587020,Schütze,NA
35227978800,Schwanenberger,NA
57209239313,Shchedrolosiev,NA
57203282562,Sosa Ricardo,NA
57224498816,Stafford,NA
57195537950,Tonon,NA
55585921500,Van De Klundert,NA
10041099500,Walsh,NA
57220509564,Walter,NA
57218083715,Wang,NA
57194778627,Wen,NA
14822842700,Wichmann,NA
57224513995,Wiens,NA
8062387800,Wissing,NA
57217019983,Wuchterl,NA
56397159000,Aggleton,NA
57226725628,Albrecht,NA
56505320100,Bein,NA
56925283600,Benato,NA
56924883900,Connor,NA
57217016209,De Leo,NA
57217067334,Eich,NA
57204545366,Feindt,NA
57208203937,Fröhlich,NA
57204552648,Garbers,NA
55885117500,Garutti,NA
55326644500,Gunnellini,NA
57224903030,Hajheidari,NA
8062443100,Haller,NA
26655607500,Hinzmann,NA
36170742600,Kasieczka,NA
14634009700,Klanner,NA
