af_id,name,organization,country,city
60069644,Hospital Nossa Senhora da Conceicao CRS,Hospital Nossa Senhora da Conceicao CRS,Brazil,Porto Alegre
60072222,VHS Infection Disease Medical Centre,"CART, Clinical Research Site, VHS Infection Disease Medical Centre",India,Chennai
60030612,University of California,"Division of Infectious Diseases, University of California",United States,San Diego
60001361,University of Pittsburgh School of Medicine,"Division of Infectious Diseases, Department of Medicine, University of Pittsburgh School of Medicine",United States,Pittsburgh
60022253,BARC-South Africa and Lancet Laboratories,BARC-South Africa and Lancet Laboratories,South Africa,Johannesburg
60028548,University of Washington,"University of Washington School of Medicine, University of Washington",United States,Seattle
60004391,National Science and Technology Development Agency,"Assistive Technology and Medical Devices Research Center, National Science and Technology Development Agency",Thailand,Pathum Thani
60025017,Nara Institute of Science and Technology,"Mathematical Informatics, Information Science, Nara Institute of Science and Technology",Japan,Nara
60011375,Japan Advanced Institute of Science and Technology,"Entertainment Technology, School of Information Science, Japan Advanced Institute of Science and Technology",Japan,Ishikawa
106208652,The Royal Society of Thailand,"The Academy of Science, The Royal Society of Thailand",Thailand,Bangkok
60015046,Faculty of Medical Technology Huachiew Chalermprakiet University,Faculty of Medical Technology Huachiew Chalermprakiet University,Thailand,Samut Prakan
60030267,Department of Electronic and Telecommunication Engineering,"Rajamangala University of Technology, Faculty of Engineering, Department of Electronic and Telecommunication Engineering",Thailand,Pathum Thani
60009119,Mahanakorn University of Technology,"Mahanakorn Institute of Innovation (MII), Mahanakorn University of Technology",Thailand,Bangkok
60103462,Faculty of Engineering,"King Mongkut's University of Technology North Bangkok, Electrical and Computer Engineering, Faculty of Engineering",Thailand,Bangkok
60114221,University of Phayao,"Division of Biochemistry, School of Medical Sciences, University of Phayao",Thailand,Phayao
60015887,Mahidol University,"Program in Translational Medicine, Faculty of Medicine Ramathibodi Hospital, Mahidol University",Thailand,Bangkok
60005281,National Institutes of Health,"Epithelial Systems Biology Laboratory, National Heart, Lung and Blood Institute, National Institutes of Health",United States,NA
60031780,The Thai Red Cross Society,"Queen Saovabha Memorial Institute, The Thai Red Cross Society",Thailand,Bangkok
60076695,NVIDIA,NVIDIA,United States,NA
60070862,Yerevan Physics Institute,Yerevan Physics Institute,Armenia,Yerevan
60025205,Institut für Hochenergiephysik,Institut für Hochenergiephysik,Austria,Vienna
60061193,Institute for Nuclear Problems,Institute for Nuclear Problems,Belarus,Minsk
60012937,Universiteit Antwerpen,Universiteit Antwerpen,Belgium,Antwerpen
60026810,Vrije Universiteit Brussel,Vrije Universiteit Brussel,Belgium,Brussel
60000145,Université Libre de Bruxelles,Université Libre de Bruxelles,Belgium,Bruxelles
60033316,Ghent University,Ghent University,Belgium,Ghent
60000874,Université Catholique de Louvain,Université Catholique de Louvain,Belgium,Louvain-la-Neuve
60008132,Centro Brasileiro de Pesquisas Fisicas,Centro Brasileiro de Pesquisas Fisicas,Brazil,Rio de Janeiro
60005499,Universidade do Estado do Rio de Janeiro,Universidade do Estado do Rio de Janeiro,Brazil,Rio de Janeiro
60006028,Universidade Estadual Paulista,Universidade Estadual Paulista,Brazil,São Paulo
